packagename,library,website
com.anychart,anychart,https://github.com/AnyChart/AnyChart-Android
com.github.anychart,anychart,https://github.com/AnyChart/AnyChart-Android
com.echo.holographlibrary,holograph library,https://bitbucket.org/danielnadeau/holographlibrary/src/master/HoloGraphLibrary/src/com/echo/holographlibrary/Bar.java
com.androidplot,androidplot,https://github.com/halfhp/androidplot/blob/master/androidplot-core/src/main/java/com/androidplot/Plot.java
com.androidplot.pi,androidplot,https://github.com/halfhp/androidplot/blob/master/androidplot-core/src/main/java/com/androidplot/Plot.java
com.androidplot.ui,androidplot,https://github.com/halfhp/androidplot/blob/master/androidplot-core/src/main/java/com/androidplot/Plot.java
com.androidplot.util,androidplot,https://github.com/halfhp/androidplot/blob/master/androidplot-core/src/main/java/com/androidplot/Plot.java
com.androidplot.xy,androidplot,https://github.com/halfhp/androidplot/blob/master/androidplot-core/src/main/java/com/androidplot/Plot.java
com.db.williamchart,williamchart,https://github.com/diogobernardino/williamchart/tree/master/williamchart/src/main/java/com/db/williamchart
com.db.williamchart.animation,williamchart,https://github.com/diogobernardino/williamchart/tree/master/williamchart/src/main/java/com/db/williamchart
com.db.williamchart.data,williamchart,https://github.com/diogobernardino/williamchart/tree/master/williamchart/src/main/java/com/db/williamchart
com.db.williamchart.extensions,williamchart,https://github.com/diogobernardino/williamchart/tree/master/williamchart/src/main/java/com/db/williamchart
com.db.williamchart.renderer,williamchart,https://github.com/diogobernardino/williamchart/tree/master/williamchart/src/main/java/com/db/williamchart
com.db.williamchart.view,williamchart,https://github.com/diogobernardino/williamchart/tree/master/williamchart/src/main/java/com/db/williamchart
lecho.lib.hellocharts,hellocharts,https://github.com/lecho/hellocharts-android/tree/master/hellocharts-library/src/lecho/lib/hellocharts
lecho.lib.hellocharts.animation,hellocharts,https://github.com/lecho/hellocharts-android/tree/master/hellocharts-library/src/lecho/lib/hellocharts
lecho.lib.hellocharts.computator,hellocharts,https://github.com/lecho/hellocharts-android/tree/master/hellocharts-library/src/lecho/lib/hellocharts
lecho.lib.hellocharts.formatter,hellocharts,https://github.com/lecho/hellocharts-android/tree/master/hellocharts-library/src/lecho/lib/hellocharts
lecho.lib.hellocharts.gesture,hellocharts,https://github.com/lecho/hellocharts-android/tree/master/hellocharts-library/src/lecho/lib/hellocharts
lecho.lib.hellocharts.listener,hellocharts,https://github.com/lecho/hellocharts-android/tree/master/hellocharts-library/src/lecho/lib/hellocharts
lecho.lib.hellocharts.model,hellocharts,https://github.com/lecho/hellocharts-android/tree/master/hellocharts-library/src/lecho/lib/hellocharts
lecho.lib.hellocharts.provider,hellocharts,https://github.com/lecho/hellocharts-android/tree/master/hellocharts-library/src/lecho/lib/hellocharts
lecho.lib.hellocharts.renderer,hellocharts,https://github.com/lecho/hellocharts-android/tree/master/hellocharts-library/src/lecho/lib/hellocharts
lecho.lib.hellocharts.util,hellocharts,https://github.com/lecho/hellocharts-android/tree/master/hellocharts-library/src/lecho/lib/hellocharts
lecho.lib.hellocharts.view,hellocharts,https://github.com/lecho/hellocharts-android/tree/master/hellocharts-library/src/lecho/lib/hellocharts
com.hadiidbouk.charts,ChartProgressbar,https://github.com/hadiidbouk/ChartProgressBar-Android/tree/master/charts/src/main/java/com/hadiidbouk
com.hadiidbouk,ChartProgressbar,https://github.com/hadiidbouk/ChartProgressBar-Android/tree/master/charts/src/main/java/com/hadiidbouk
com.scichart.charting,Scichart,https://www.scichart.com/examples/android-chart/
com.scichart.charting.visuals,Scichart,https://www.scichart.com/examples/android-chart/
com.scichart.charting.modifiers,Scichart,https://www.scichart.com/examples/android-chart/
com.scichart.charting.numerics,Scichart,https://www.scichart.com/examples/android-chart/